kana³;kontrola bl.;protokol;packetSize;iloscPackietow;errorRate;avBER;avOpTime;avResendPCounter

BSC;CRC32;SAW;8;10;1000;0.008400;0.000000;2.178821;4.041865
BSC;CRC32;SAW;8;10;1000;0.008600;0.000000;2.211459;4.116042
BSC;CRC32;SAW;8;10;1000;0.008800;0.000000;2.260331;4.227116
BSC;CRC32;SAW;8;10;1000;0.009000;0.000000;2.351020;4.433227
BSC;CRC32;SAW;8;10;1000;0.009200;0.000000;2.326911;4.378433
BSC;CRC32;SAW;8;10;1000;0.009400;0.000000;2.427207;4.606378
BSC;CRC32;SAW;8;10;1000;0.009600;0.000000;2.533347;4.847606
BSC;CRC32;SAW;8;10;1000;0.009800;0.000000;2.511453;4.797848
BSC;CRC32;SAW;8;10;1000;0.010000;0.000000;2.561591;4.911798
BSC;2z5;SAW;8;10;1000;0.000200;0.000000;0.440040;0.091000
BSC;2z5;SAW;8;10;1000;0.000400;0.000000;0.475240;0.170091
BSC;2z5;SAW;8;10;1000;0.000600;0.000000;0.510475;0.250170
BSC;2z5;SAW;8;10;1000;0.000800;0.000000;0.541310;0.320250
BSC;2z5;SAW;8;10;1000;0.001000;0.000000;0.586661;0.423320
BSC;2z5;SAW;8;10;1000;0.001200;0.000000;0.610907;0.478423
BSC;2z5;SAW;8;10;1000;0.001400;0.000000;0.662411;0.595478
BSC;2z5;SAW;8;10;1000;0.001600;0.000000;0.693262;0.665595
BSC;2z5;SAW;8;10;1000;0.001800;0.000013;0.715733;0.716666
BSC;2z5;SAW;8;10;1000;0.002000;0.000000;0.772516;0.845717
BSC;2z5;SAW;8;10;1000;0.002200;0.000013;0.833293;0.983846
BSC;2z5;SAW;8;10;1000;0.002400;0.000013;0.850513;1.022984
BSC;2z5;SAW;8;10;1000;0.002600;0.000013;0.891451;1.116023
BSC;2z5;SAW;8;10;1000;0.002800;0.000025;0.902051;1.140116
BSC;2z5;SAW;8;10;1000;0.003000;0.000000;0.990942;1.342140
BSC;2z5;SAW;8;10;1000;0.003200;0.000000;1.020071;1.408342
BSC;2z5;SAW;8;10;1000;0.003400;0.000025;1.049580;1.475408
BSC;2z5;SAW;8;10;1000;0.003600;0.000013;1.109890;1.612475
BSC;2z5;SAW;8;10;1000;0.003800;0.000000;1.146030;1.694612
BSC;2z5;SAW;8;10;1000;0.004000;0.000000;1.195786;1.807695
BSC;2z5;SAW;8;10;1000;0.004200;0.000013;1.234116;1.894808
BSC;2z5;SAW;8;10;1000;0.004400;0.000050;1.228874;1.882895
BSC;2z5;SAW;8;10;1000;0.004600;0.000013;1.270669;1.977883
BSC;2z5;SAW;8;10;1000;0.004800;0.000000;1.402271;2.276978
BSC;2z5;SAW;8;10;1000;0.005000;0.000000;1.356642;2.173277
BSC;2z5;SAW;8;10;1000;0.005200;0.000075;1.427437;2.334173
BSC;2z5;SAW;8;10;1000;0.005400;0.000013;1.447307;2.379334
BSC;2z5;SAW;8;10;1000;0.005600;0.000050;1.488687;2.473379
BSC;2z5;SAW;8;10;1000;0.005800;0.000063;1.553849;2.621473
BSC;2z5;SAW;8;10;1000;0.006000;0.000013;1.590434;2.704621
BSC;2z5;SAW;8;10;1000;0.006200;0.000000;1.612470;2.754705
BSC;2z5;SAW;8;10;1000;0.006400;0.000050;1.712812;2.982755
BSC;2z5;SAW;8;10;1000;0.006600;0.000038;1.732713;3.027983
BSC;2z5;SAW;8;10;1000;0.006800;0.000050;1.720853;3.001028
BSC;2z5;SAW;8;10;1000;0.007000;0.000088;1.863401;3.325001
BSC;2z5;SAW;8;10;1000;0.007200;0.000038;1.867503;3.334325
BSC;2z5;SAW;8;10;1000;0.007400;0.000013;1.911068;3.433334
BSC;2z5;SAW;8;10;1000;0.007600;0.000113;1.959071;3.542433
BSC;2z5;SAW;8;10;1000;0.007800;0.000038;2.011039;3.660542
BSC;2z5;SAW;8;10;1000;0.008000;0.000125;2.056851;3.764661
BSC;2z5;SAW;8;10;1000;0.008200;0.000038;2.144457;3.963765
BSC;2z5;SAW;8;10;1000;0.008400;0.000113;2.155104;3.987964
BSC;2z5;SAW;8;10;1000;0.008600;0.000050;2.223315;4.142988
BSC;2z5;SAW;8;10;1000;0.008800;0.000138;2.228663;4.155143
BSC;2z5;SAW;8;10;1000;0.009000;0.000038;2.288069;4.290155
BSC;2z5;SAW;8;10;1000;0.009200;0.000075;2.395928;4.535290
BSC;2z5;SAW;8;10;1000;0.009400;0.000025;2.470836;4.705535
BSC;2z5;SAW;8;10;1000;0.009600;0.000100;2.445391;4.647706
BSC;2z5;SAW;8;10;1000;0.009800;0.000088;2.485405;4.738648
BSC;2z5;SAW;8;10;1000;0.010000;0.000075;2.559805;4.907739
BSC;2z5;GBN;8;10;1000;0.000200;0.000000;0.435280;0.058000
BSC;2z5;GBN;8;10;1000;0.000400;0.000000;0.511115;0.178058
BSC;2z5;GBN;8;10;1000;0.000600;0.000000;0.559631;0.251178
BSC;2z5;GBN;8;10;1000;0.000800;0.000000;0.592120;0.309251
BSC;2z5;GBN;8;10;1000;0.001000;0.000000;0.643752;0.390309
BSC;2z5;GBN;8;10;1000;0.001200;0.000013;0.717324;0.513390
BSC;2z5;GBN;8;10;1000;0.001400;0.000000;0.752757;0.566513
BSC;2z5;GBN;8;10;1000;0.001600;0.000013;0.786313;0.618567
BSC;2z5;GBN;8;10;1000;0.001800;0.000000;0.871546;0.749619
BSC;2z5;GBN;8;10;1000;0.002000;0.000013;0.941832;0.870750
BSC;2z5;GBN;8;10;1000;0.002200;0.000000;0.958222;0.902871
BSC;2z5;GBN;8;10;1000;0.002400;0.000000;1.044918;1.032903
BSC;2z5;GBN;8;10;1000;0.002600;0.000000;1.083445;1.100033
BSC;2z5;GBN;8;10;1000;0.002800;0.000013;1.121443;1.176100
BSC;2z5;GBN;8;10;1000;0.003000;0.000000;1.200361;1.291176
BSC;2z5;GBN;8;10;1000;0.003200;0.000013;1.229720;1.341291
BSC;2z5;GBN;8;10;1000;0.003400;0.000000;1.285350;1.430341
BSC;2z5;GBN;8;10;1000;0.003600;0.000013;1.393005;1.589430
BSC;2z5;GBN;8;10;1000;0.003800;0.000013;1.411313;1.630589
BSC;2z5;GBN;8;10;1000;0.004000;0.000013;1.454891;1.699631
BSC;2z5;GBN;8;10;1000;0.004200;0.000000;1.566695;1.879700
BSC;2z5;GBN;8;10;1000;0.004400;0.000038;1.597607;1.936880
BSC;2z5;GBN;8;10;1000;0.004600;0.000025;1.679398;2.055937
BSC;2z5;GBN;8;10;1000;0.004800;0.000013;1.751159;2.167056
BSC;2z5;GBN;8;10;1000;0.005000;0.000000;1.776351;2.227167
BSC;2z5;GBN;8;10;1000;0.005200;0.000050;1.861056;2.370227
BSC;2z5;GBN;8;10;1000;0.005400;0.000063;1.941221;2.485370
BSC;2z5;GBN;8;10;1000;0.005600;0.000050;1.929781;2.474485
BSC;2z5;GBN;8;10;1000;0.005800;0.000050;2.075650;2.703474
BSC;2z5;GBN;8;10;1000;0.006000;0.000025;2.060236;2.676703
BSC;2z5;GBN;8;10;1000;0.006200;0.000038;2.128020;2.784677
BSC;2z5;GBN;8;10;1000;0.006400;0.000013;2.252368;2.995785
BSC;2z5;GBN;8;10;1000;0.006600;0.000038;2.258532;2.988996
BSC;2z5;GBN;8;10;1000;0.006800;0.000013;2.321219;3.098989
BSC;2z5;GBN;8;10;1000;0.007000;0.000038;2.412441;3.241099
BSC;2z5;GBN;8;10;1000;0.007200;0.000013;2.422852;3.283241
BSC;2z5;GBN;8;10;1000;0.007400;0.000050;2.625263;3.565283
BSC;2z5;GBN;8;10;1000;0.007600;0.000038;2.658825;3.640565
BSC;2z5;GBN;8;10;1000;0.007800;0.000088;2.692859;3.689641
BSC;2z5;GBN;8;10;1000;0.008000;0.000125;2.781213;3.816690
BSC;2z5;GBN;8;10;1000;0.008200;0.000063;2.822661;3.897817
BSC;2z5;GBN;8;10;1000;0.008400;0.000088;2.863903;3.988898
BSC;2z5;GBN;8;10;1000;0.008600;0.000038;3.015304;4.196989
BSC;2z5;GBN;8;10;1000;0.008800;0.000088;3.084335;4.310197
BSC;2z5;GBN;8;10;1000;0.009000;0.000063;3.138444;4.455310
BSC;2z5;GBN;8;10;1000;0.009200;0.000050;3.071938;4.320455
BSC;2z5;GBN;8;10;1000;0.009400;0.000113;3.162392;4.439320
BSC;2z5;GBN;8;10;1000;0.009600;0.000100;3.270162;4.653439
BSC;2z5;GBN;8;10;1000;0.009800;0.000150;3.419830;4.901653
BSC;2z5;GBN;8;10;1000;0.010000;0.000113;3.488820;4.983902
BSC;CRC32;GBN;8;10;1000;0.000200;0.000000;0.446960;0.075000
BSC;CRC32;GBN;8;10;1000;0.000400;0.000000;0.499087;0.158075
BSC;CRC32;GBN;8;10;1000;0.000600;0.000000;0.560979;0.257158
BSC;CRC32;GBN;8;10;1000;0.000800;0.000000;0.601081;0.323257
BSC;CRC32;GBN;8;10;1000;0.001000;0.000000;0.646681;0.402323
BSC;CRC32;GBN;8;10;1000;0.001200;0.000000;0.693127;0.470402
BSC;CRC32;GBN;8;10;1000;0.001400;0.000000;0.774453;0.602470
BSC;CRC32;GBN;8;10;1000;0.001600;0.000000;0.800494;0.649602
BSC;CRC32;GBN;8;10;1000;0.001800;0.000000;0.830280;0.697650
BSC;CRC32;GBN;8;10;1000;0.002000;0.000000;0.912950;0.825698
BSC;CRC32;GBN;8;10;1000;0.002200;0.000000;0.965913;0.910826
BSC;CRC32;GBN;8;10;1000;0.002400;0.000000;1.048166;1.049911
BSC;CRC32;GBN;8;10;1000;0.002600;0.000000;1.052608;1.040050
BSC;CRC32;GBN;8;10;1000;0.002800;0.000000;1.122173;1.166040
BSC;CRC32;GBN;8;10;1000;0.003000;0.000000;1.194682;1.272166
BSC;CRC32;GBN;8;10;1000;0.003200;0.000000;1.255915;1.377272
BSC;CRC32;GBN;8;10;1000;0.003400;0.000000;1.283976;1.412377
BSC;CRC32;GBN;8;10;1000;0.003600;0.000000;1.410884;1.629412
BSC;CRC32;GBN;8;10;1000;0.003800;0.000000;1.459691;1.708629
BSC;CRC32;GBN;8;10;1000;0.004000;0.000000;1.494580;1.770709
BSC;CRC32;GBN;8;10;1000;0.004200;0.000000;1.492015;1.764771
BSC;CRC32;GBN;8;10;1000;0.004400;0.000000;1.613172;1.947765
BSC;CRC32;GBN;8;10;1000;0.004600;0.000000;1.693853;2.056948
BSC;CRC32;GBN;8;10;1000;0.004800;0.000000;1.747814;2.158057
BSC;CRC32;GBN;8;10;1000;0.005000;0.000000;1.725868;2.148158
BSC;CRC32;GBN;8;10;1000;0.005200;0.000000;1.805126;2.279148
BSC;CRC32;GBN;8;10;1000;0.005400;0.000000;1.939965;2.476279
BSC;CRC32;GBN;8;10;1000;0.005600;0.000000;1.984660;2.545476
BSC;CRC32;GBN;8;10;1000;0.005800;0.000000;2.092105;2.733545
BSC;CRC32;GBN;8;10;1000;0.006000;0.000000;2.077092;2.713734
BSC;CRC32;GBN;8;10;1000;0.006200;0.000000;2.114997;2.756714
BSC;CRC32;GBN;8;10;1000;0.006400;0.000000;2.205035;2.911757
BSC;CRC32;GBN;8;10;1000;0.006600;0.000000;2.316885;3.084912
BSC;CRC32;GBN;8;10;1000;0.006800;0.000000;2.353357;3.154085
BSC;CRC32;GBN;8;10;1000;0.007000;0.000000;2.469353;3.348154
BSC;CRC32;GBN;8;10;1000;0.007200;0.000000;2.422069;3.278348
BSC;CRC32;GBN;8;10;1000;0.007400;0.000000;2.548702;3.480278
BSC;CRC32;GBN;8;10;1000;0.007600;0.000000;2.598829;3.526480
BSC;CRC32;GBN;8;10;1000;0.007800;0.000000;2.577519;3.497526
BSC;CRC32;GBN;8;10;1000;0.008000;0.000000;2.766058;3.827498
BSC;CRC32;GBN;8;10;1000;0.008200;0.000000;2.803406;3.859827
BSC;CRC32;GBN;8;10;1000;0.008400;0.000000;2.885723;4.014860
BSC;CRC32;GBN;8;10;1000;0.008600;0.000000;2.962726;4.146015
BSC;CRC32;GBN;8;10;1000;0.008800;0.000000;2.971723;4.154146
BSC;CRC32;GBN;8;10;1000;0.009000;0.000000;3.144612;4.439154
BSC;CRC32;GBN;8;10;1000;0.009200;0.000000;3.166745;4.460439
BSC;CRC32;GBN;8;10;1000;0.009400;0.000000;3.357327;4.752460
BSC;CRC32;GBN;8;10;1000;0.009600;0.000000;3.365597;4.812752
BSC;CRC32;GBN;8;10;1000;0.009800;0.000000;3.373806;4.784813
BSC;CRC32;GBN;8;10;1000;0.010000;0.000000;3.489694;4.980785
BSC;PB;GBN;8;10;1000;0.000200;0.000000;0.092286;0.017000
BSC;PB;GBN;8;10;1000;0.000400;0.000000;0.096041;0.042017
BSC;PB;GBN;8;10;1000;0.000600;0.000000;0.099132;0.064042
BSC;PB;GBN;8;10;1000;0.000800;0.000000;0.102771;0.093064
BSC;PB;GBN;8;10;1000;0.001000;0.000038;0.100642;0.075093
BSC;PB;GBN;8;10;1000;0.001200;0.000025;0.104006;0.100075
BSC;PB;GBN;8;10;1000;0.001400;0.000025;0.107276;0.125100
BSC;PB;GBN;8;10;1000;0.001600;0.000050;0.107495;0.125125
BSC;PB;GBN;8;10;1000;0.001800;0.000038;0.114389;0.177125
BSC;PB;GBN;8;10;1000;0.002000;0.000063;0.116061;0.189177
BSC;PB;GBN;8;10;1000;0.002200;0.000100;0.119303;0.210189
BSC;PB;GBN;8;10;1000;0.002400;0.000038;0.122951;0.232210
BSC;PB;GBN;8;10;1000;0.002600;0.000050;0.123936;0.241232
BSC;PB;GBN;8;10;1000;0.002800;0.000050;0.128671;0.278241
BSC;PB;GBN;8;10;1000;0.003000;0.000125;0.127407;0.265278
BSC;PB;GBN;8;10;1000;0.003200;0.000075;0.128764;0.277265
BSC;PB;GBN;8;10;1000;0.003400;0.000050;0.137199;0.336277
BSC;PB;GBN;8;10;1000;0.003600;0.000075;0.136496;0.336336
BSC;PB;GBN;8;10;1000;0.003800;0.000225;0.133921;0.318336
BSC;PB;GBN;8;10;1000;0.004000;0.000113;0.137105;0.336318
BSC;PB;GBN;8;10;1000;0.004200;0.000063;0.139106;0.351336
BSC;PB;GBN;8;10;1000;0.004400;0.000125;0.151060;0.434351
BSC;PB;GBN;8;10;1000;0.004600;0.000213;0.145681;0.397434
BSC;PB;GBN;8;10;1000;0.004800;0.000250;0.151976;0.439397
BSC;PB;GBN;8;10;1000;0.005000;0.000163;0.151712;0.441439
BSC;PB;GBN;8;10;1000;0.005200;0.000175;0.152747;0.450441
BSC;PB;GBN;8;10;1000;0.005400;0.000250;0.156798;0.481450
BSC;PB;GBN;8;10;1000;0.005600;0.000313;0.159367;0.501481
BSC;PB;GBN;8;10;1000;0.005800;0.000363;0.172023;0.583501
BSC;PB;GBN;8;10;1000;0.006000;0.000363;0.159607;0.499584
BSC;PB;GBN;8;10;1000;0.006200;0.000375;0.166570;0.551500
BSC;PB;GBN;8;10;1000;0.006400;0.000425;0.173840;0.593551
BSC;PB;GBN;8;10;1000;0.006600;0.000325;0.176610;0.621594
BSC;PB;GBN;8;10;1000;0.006800;0.000263;0.177450;0.625622
BSC;PB;GBN;8;10;1000;0.007000;0.000300;0.171438;0.584626
BSC;PB;GBN;8;10;1000;0.007200;0.000400;0.179388;0.644585
BSC;PB;GBN;8;10;1000;0.007400;0.000600;0.179315;0.640645
BSC;PB;GBN;8;10;1000;0.007600;0.000751;0.187775;0.696641
BSC;PB;GBN;8;10;1000;0.007800;0.000363;0.187964;0.700697
BSC;PB;GBN;8;10;1000;0.008000;0.000425;0.195011;0.752701
BSC;PB;GBN;8;10;1000;0.008200;0.000763;0.183687;0.667753
BSC;PB;GBN;8;10;1000;0.008400;0.000701;0.202198;0.810668
BSC;PB;GBN;8;10;1000;0.008600;0.000601;0.194539;0.754811
BSC;PB;GBN;8;10;1000;0.008800;0.000663;0.203028;0.812755
BSC;PB;GBN;8;10;1000;0.009000;0.000451;0.202955;0.811813
BSC;PB;GBN;8;10;1000;0.009200;0.000525;0.206789;0.841812
BSC;PB;GBN;8;10;1000;0.009400;0.000738;0.217773;0.907842
BSC;PB;GBN;8;10;1000;0.009600;0.000626;0.213446;0.877908
BSC;PB;GBN;8;10;1000;0.009800;0.001001;0.210993;0.867878
BSC;PB;GBN;8;10;1000;0.010000;0.000801;0.218443;0.911868
CEC;PB;SAW;8;10;1000;0.000200;0.000000;0.090000;0.000000
CEC;PB;SAW;8;10;1000;0.000400;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.000600;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.000800;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.001000;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.001200;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.001400;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.001600;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.001800;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.002000;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.002200;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.002400;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.002600;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.002800;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.003000;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.003200;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.003400;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.003600;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.003800;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.004000;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.004200;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.004400;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.004600;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.004800;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.005000;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.005200;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.005400;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.005600;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.005800;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.006000;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.006200;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.006400;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.006600;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.006800;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.007000;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.007200;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.007400;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.007600;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.007800;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.008000;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.008200;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.008400;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.008600;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.008800;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.009000;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.009200;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.009400;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.009600;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.009800;0.000000;0.090090;0.000000
CEC;PB;SAW;8;10;1000;0.010000;0.000000;0.090090;0.000000
